ady ; przecież
ajntopf ; potrawa jednogarnkowa
ajsbana ; golonka
ajzol ; duży metalowy i ciężki przedmiot
akuratnie ; prawidłowo, porządnie, idealnie
amerykany ; ciastka biszkoptowe
ancug ; ubranie wierzchnie
angielka ; kuchenny piec stojący na nogach, na węgiel
angielskie włosy ; lameta na choinkę
angryst ; agrest
antrejka ; sień
bambrejewo ; wiocha
bachać się ; kąpać się
badejki ; kąpielówki
baka ; policzek
bamber ; chłop, zwłaszcza bogaty, prostak
bana ; pociąg
bauer ; gospodarz
bąbas ; dziecko
begryf ; znaczenie, słowo, termin
bejmy ; pieniądze
berbelucha ; brudny płyn, również alkoholowy np. bimber
betki ; grzyby
bez ; przez
biglować ; prasować
bimba ; tramwaj
bindka ; krawat
biniol ; siniak, guz
blałka / blaua / blauki ; wagary, idę na blaułę, na blankę ; idę na wagary
blubrać ; ględzić, mówić od rzeczy
blubry ; brednie, bzdury
blyce ; okulary
blyrwa ; uprawiająca najstarszy zawód
bonbony ; cukierki
brachol ; brat
brecha ; łom
brechtać się ; kąpać się, taplać się w wodzie
bręczeć ; marudzić
brękot ; maruda
bryle ; okulary
brynda ; denaturat
buda ; bramka na boisku lub szkoła
być na fleku ; w pełni sił
bździągwa ; coś małego, mała dziewczynka
ceglorz ; zakłady im. Hipolita Cegielskiego w Poznaniu
chabas ; mięso
chapać ; ciężko pracować
chaps ; kęs, gryz
chapsnąć ; ugryźć, złapać
chęchy ; zarośla, krzaki, miejsce zaniedbane, podejrzane
chichrać się ; śmiać się
chlabra ; plucha, błoto
chochla ; duża łyżka, łyżka wazowa, czerpak
churchlać / churchać ; kaszleć
cięgiem ; ciągle
cug ; pociąg
cug ; przeciąg, podmuch
czerstwe ; stare pieczywo
ćmik ; papieros
ćpać / ćpić ; rzucać
ćwok ; oferma
drynda ; taksówka
deczka ; koc, serweta
drabka ; drabina
dracheta ; latawiec, deska, szczebel
drygać ; bać się
drzuzgawki ; truskawki
dudki ; pieniądze
dudlać ; płakać
dycht ; całkiem
dylać ; tańczyć, uciekać
dynks ; nieokreślone „coś”, przycisk, guzik w urządzeniu
ejber ; łobuz
eka ; narożnik, kąt, banda
fafoły ; męty, cząstki stałe w cieczy
fajny, farfocle ; ładny
famuła ; rodzina
farfocel ; fafoł
fefermyncki ; cukierki miętowe
fefry ; strach
fest ; mocno, pożundnie
fifny ; sprytny, żartobliwy
flaszka ; butelka
fleja ; flejtuch
frechowny ; bezczelny
funcka ; lampa
futer ; pożywienie
futrować ; zjadać duże ilości pożywienia
fyrać ; uciekać
fyrać / fyrnąć ; uciekać, uciec
fyrtel ; dzielnica, część dzielnicy, najbliższa okolica
garować ; spać
gajgi ; skrzypce
galart ; galareta z mięsa, tzw. „zimne nóżki”
gamuła ; gamoń
ganc ; zupełnie, całkiem
gemela / gymela ; śmietnik, śmiecie
gemyla ; śmietnik, bałagan
gibać się / gibnąć się ; kołysać się, bujać się
gichnąć ; nalać
gideja ; wysoka, chuda kobieta
gielejza ; niezdara
giglać ; łaskotać
gilejza ; niezdara
gira ; noga
gisuwa ; deszcz
glajda ; błoto, kobieta niechlujna
glanc ; połysk
glapa ; ptak
glapić sie ; patrzyć
glazejki ; rękawiczki
ględzić ; marudzić
glizda ; gąsienica, dżownica
glubka ; rodzaj śliwki
głabać ; kraść, brać, łapczywie jeść
gnyk ; kark
gonito ; zabawa dziecięca
graitko / grajotko ; instrument muzyczny
graty ; rupiecie
grygolić ; bazgrać, gryzmolić
guła ; niezdara
guzik ; włącznik, przycisk
gwiazdor ; Św. Mikołaj we Gwiazdkę
gzik / gziczka / gzika ; twarożek, biały serek ze śmietaną
gzub ; dziecko
habasy ; mięso, kiełbasy
haczka ; motyka
hajcować ; palić
hazaj ; zając
hejbnąć się ; zdobyć się na coś
heklować ; szydełkować
heksa ; wiedźma
huby ; peryferie
hyćka ; czarny bez
istny ; ten właśnie
ino ; tylko
jabol ; aromatyczny owocowy trunek alkoholowy o znacznej zawartości siarki
jabzo ; jabłko
jaczka ; marynarka
jaka, jupka ; kurtka
japa ; dziura lub twarz
jaźwiec ; rozczochrany
jucha ; krew
juchta ; kradzież
kakaludek ; niski wzrostem
kalafa ; twarz
kamlot ; kamień
kasta ; skrzynia, twarz
kaszok ; kaszanka
katana ; kurtka
kejter ; pies, kundel
kielczyć się ; śmiać się
kieloch ; ząb
kierz / kierzki ; krzak, krzaki
kipa ; niedopałek
kista ; skrzynia
kanka ; bańka, dzbanek
klamot ; kamień
klamoty ; graty, kamienie, ciężkie przedmioty
klapsztula ; podwójna kromka chleba
klara ; słońce
klejdry ; plotki
klemki / klymki ; twarde cukierki
klemy ; cukierki typu landrynki
klofta ; kłoda
klopnąć ; sprzedać
kluber, kluka ; nos
kluka ; nos
klunkry ; graty, rupiecie
knajder ; malec, niedorostek
knyf ; fortel
knyf ; przemyślny, sprytny sposób
knyp ; nóż
knypek ; nożyk, niska osoba
kociamber ; kot
kokot ; kogut
kolonialka ; sklep spożywczy
koło ; rower
kompel ; kolega
korbol / korbal ; dynia
kromka ; piętka chleba
kusić ; robić coś w nocy, jak wszyscy pożundni już śpią
kuszka ; koszyk
kwynkać ; marudzić, narzekać na dolegliwości chorobowe
kwyrlejka / kwirlejka ; mątewka
lelać ; rozpieszczać
laczki ; obuwie domowe, kapcie
lajsnąć ; sprawić sobie coś, kupić
land ; wieś
latoś ; tego roku
leberka ; wątrobianka
ligać ; ślizgać
ligawa ; ślizgawka, ślizgawica
lola ; kij, pałka, laska
lołs ; dalej
lufcik ; małe, dodatkowe okno
lumpy ; szmaty, ciuchy, ubrania
luńt ; kawałek
lura ; słaba kawa
lury ; nudy, brednie
lyroć się ; chwiać się
łe / łe jery ; taak, ooj
marać ; szukać, grzebać
majsel ; przecinak
makocz ; makowiec
maluda ; dziecko
mana ; drużyna sportowa
mantel ; płaszcz
maryjanka ; majeranek
mączyty ; mączysty
mela ; dziewczyna
menel ; typek
miałki ; sypki
miągwa ; beksa, osoba płaczliwa
mindzy ; między
mrzygłód ; niejadek, ktoś wychudzony
nadusić ; nacisnąć
na odwyrtke ; na odwrót
na spróbę ; na próbę
na szage ; na ukos
nabąbany ; najedzony w nadmiarze
nałojony ; napity
narychtować ; przygotować, naprawić
nieusłuchany ; niegrzeczny
niuda ; świnia
